fips,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,SBO001207,LND110210,POP060210
42001,18.3,50.7,95.5,1.9,0.4,0.9,0,1.3,6.6,89.7,86.8,4.1,20.4,8901,27.7,41281,76.7,198200,38141,2.55,27284,59492,8.7,8687,518.67,195.5
42003,17.4,51.8,81,13.4,0.2,3.4,0,2,1.9,79.6,87.1,5,35.9,93347,26,589709,65.5,122400,526004,2.26,31593,51366,12.9,95698,730.08,1675.6
42005,20.1,50.4,97.9,0.9,0.1,0.3,0,0.8,0.7,97.3,90.8,0.6,14.6,6204,27.9,32384,76.5,94100,28525,2.37,23661,45241,13,4908,653.2,105.5
42007,19.7,51.6,91.1,6.4,0.1,0.5,0,1.8,1.4,89.9,89.7,1.8,21.9,15600,25.1,78381,73.4,115400,70867,2.35,26258,49217,12.2,11685,434.71,392.3
42009,20.5,50.1,97.9,0.7,0.2,0.3,0,1,1.1,97,91.9,0.7,12.6,4355,28,24013,79.8,120200,20198,2.42,22259,43290,12.6,4459,1012.3,49.2
42011,15.9,50.8,88.7,6.7,0.8,1.6,0.1,2.1,18.7,74.2,86.4,6.8,22.3,29566,24.5,164822,72,170600,153897,2.59,26723,55170,13.9,30325,856.51,480.4
42013,19.3,51.2,95.9,1.9,0.1,0.7,0,1.3,1.2,95,88.9,1.2,18.4,12862,19,56064,72.4,106500,51433,2.4,23875,42992,14.1,8728,525.8,241.7
42015,19.6,50.5,97.4,0.6,0.3,0.6,0,1,1.5,96.2,90.9,1.5,17.1,5825,22.5,30129,74.9,119900,24213,2.55,23667,46963,13.3,5145,1147.4,54.6
42017,16.7,51,89.4,4.1,0.3,4.6,0.1,1.6,4.9,85.3,92.8,8.2,35.8,40571,28.3,246842,78,309900,230366,2.68,37466,76555,5.4,65114,604.31,1034.7
42019,17,50.6,96.3,1.3,0.1,1.2,0,1,1.3,95.2,88.3,1.8,30.5,15172,26.4,80358,76.8,169700,73213,2.45,30957,58230,9.3,15493,788.6,233.1
42021,20.4,50.8,94.3,3.5,0.1,0.6,0,1.4,1.5,93.1,89.3,1.2,18.3,13695,22.7,65240,73.9,87100,58208,2.31,22659,41730,14.9,9667,688.35,208.7
42023,23.8,50.5,97.8,0.4,0.4,0.4,0,1,0.7,97.2,91.4,1,14.2,612,15.2,4400,71.5,69500,2144,2.29,22747,41410,13.1,513,396.23,12.8
42025,19.7,50.5,96.1,1.9,0.3,0.5,0.1,1.1,4.1,92.6,91.2,2.9,15.1,6219,30.5,34398,78.9,146700,25903,2.48,24861,48900,11.6,5149,381.46,171.1
42027,12.4,47.6,88.7,3.8,0.2,5.6,0.1,1.6,2.9,86.4,72.4,7,40.4,9420,19.9,65107,59.6,192600,57197,2.4,25545,50336,20.5,11078,1109.92,138.7
42029,14.5,50.8,86.7,6.4,0.3,4.8,0.1,1.7,7.1,80.6,89.8,9,48.5,31143,27.4,195644,75.7,325200,184788,2.64,42210,86050,6.9,49835,750.51,664.7
42031,18,51.2,97,1.1,0.2,0.7,0,0.9,0.7,96.4,84.3,1,18.5,3011,22.8,19879,70.9,106200,15776,2.4,21902,42389,18.3,3460,600.83,66.6
42033,18.9,47.7,95.3,3,0.2,0.7,0,0.8,2.9,93,89,2,13.5,7849,25.1,38565,76.8,85100,32192,2.38,21273,41030,14.5,5353,1144.72,71.3
42035,17.2,51,96.5,1.8,0.1,0.6,0.1,0.9,1.4,95.2,83.7,1.5,17,3329,23.3,18993,71.7,110900,15067,2.45,21875,42184,16.1,2479,887.98,44.2
42037,17.2,51.7,95.5,2.1,0.2,1.2,0,1,2.6,93.4,87.3,2.4,20.7,5124,21.1,29595,69.6,135000,26225,2.4,23681,44807,16.6,4929,483.11,139.3
42039,18.3,51.1,96,1.9,0.2,0.6,0,1.2,1.2,95,88,1.1,18.7,7843,22.4,44373,73.7,102700,34831,2.43,21741,42504,15.9,6868,1012.3,87.7
42041,17,50.6,90.2,3.8,0.2,3.8,0,1.9,3.4,87.5,84.8,5.3,32.5,20999,21.2,102907,71.1,184500,95286,2.35,31791,60826,8.3,19279,545.46,431.6
42043,15.3,51.6,74.1,18.7,0.4,3.7,0.1,3,8.3,68.2,85.1,6,28.5,20825,21.3,121802,64.4,158800,108831,2.41,29234,54066,13.3,19512,525.05,510.6
42045,15,52,71.1,21.2,0.2,5.4,0,2,3.5,68.6,90,9.3,35,34153,27.7,221921,70.6,234100,204771,2.62,33179,64041,10.3,47789,183.84,3040.5
42047,20.5,49.9,98.3,0.5,0.2,0.4,0,0.7,0.8,97.6,93.2,1,14.9,2887,16.8,17521,80.3,92100,13478,2.33,23738,45767,10.4,2598,827.36,38.6
42049,15.8,50.7,88.5,7.6,0.3,1.4,0,2.2,3.8,85.5,85.2,4,24.8,21569,18.6,119816,67.5,115100,109675,2.44,24189,45202,16.9,19610,799.15,351.1
42051,19.4,50.7,93.1,4.8,0.2,0.4,0,1.5,1.1,92.3,90.9,0.9,14,12097,25.2,62878,72.8,84200,54363,2.42,20884,39115,18.4,8796,790.34,172.8
42053,21.3,32.9,79.4,19,0.5,0.2,0,0.9,5.9,74.6,85.8,1,7.8,1008,26.7,8675,83.1,83600,2001,2.37,13646,36556,16.3,389,427.19,18.1
42055,18.2,51,92.9,3.9,0.3,1.1,0.1,1.8,5,89,88.1,3.5,19.3,13036,23.2,64125,73,177500,58273,2.54,25741,52637,11,10759,772.22,193.7
42057,19.7,49.6,97.4,1.2,0.2,0.1,0,1.1,1.2,96.4,91,0.6,11.8,1269,33,7106,77.4,159300,5965,2.47,23201,48461,11.1,1238,437.55,33.9
42059,17.1,48.1,94.7,3.5,0.2,0.4,0,1.2,1.4,93.5,85.2,0.6,15.5,3657,26.9,16421,73,89400,14417,2.36,21819,44388,14.7,2203,575.95,67.2
42061,18.7,46.9,92.6,5.6,0.1,0.5,0,1.1,1.8,91.2,88.1,1.1,13.5,3902,28.1,22397,76.5,115000,17193,2.37,20739,44183,12.7,3587,874.64,52.5
42063,17.1,49.9,94.7,2.9,0.2,1.2,0,1,1.4,93.7,81.9,1.7,21.9,7074,22.8,38618,71.6,103000,34310,2.42,22933,43997,17.7,6934,827.03,107.5
42065,19.4,50.2,98,0.5,0.2,0.3,0,0.9,0.8,97.4,88.9,0.6,13.2,3802,21.9,22418,74.5,86800,18503,2.39,21300,41262,15.3,4071,652.43,69.3
42067,19.8,50.1,97.5,0.8,0.3,0.5,0,0.9,3.1,94.9,91.6,1.8,11.8,1659,29.3,11005,76.4,138200,9248,2.64,21628,46163,11.8,1879,391.35,63
42069,18.8,51.7,92.6,3.3,0.3,2.3,0.1,1.6,6.2,87.5,88.2,4.9,25.7,18091,20,96640,66.8,144100,85769,2.4,25594,46044,13.6,15566,459.08,467.1
42071,16.4,51.1,90.7,4.8,0.4,2.2,0.1,1.9,9.8,83.2,89.1,4.5,24.2,34195,22.5,206404,69.5,188200,194082,2.62,26496,56483,10.5,46957,943.81,550.4
42073,19.9,51.7,93.5,4.1,0.1,0.5,0,1.8,1.2,92.5,91.8,1.4,19.6,7787,22.4,40745,75.3,96700,36823,2.39,22906,43546,14.4,6538,358.18,254.4
42075,18.4,50.9,93.6,3.3,0.3,1.3,0,1.4,11.4,84.3,87.4,3.6,19.4,10979,22.9,56209,72,164300,52023,2.52,27074,54818,10.7,10145,361.83,369.1
42077,16,51.3,84.7,8.4,0.8,3.5,0.1,2.4,21.5,68.1,85.4,9.8,28.1,23497,24.2,143377,67.5,196600,133289,2.57,27923,54923,13.7,27183,345.17,1012.5
42079,19,50.7,91.9,4.9,0.4,1.2,0.1,1.5,9.1,85.1,87.5,5.2,21,28639,22.2,148243,67.8,121000,130880,2.36,24793,44402,15.6,22566,890.33,360.4
42081,17.5,50.8,92.5,4.7,0.2,0.6,0.1,1.9,2,90.9,87.5,1.4,18.8,10578,19.8,52598,70,131000,46046,2.42,22987,45430,14.2,8851,1228.59,94.5
42083,18.2,48.8,95.5,2.6,0.3,0.6,0,1,2.1,93.7,88,1.2,15.1,4247,20,21042,73.2,72700,17450,2.31,22426,41834,16.6,3083,979.2,44.4
42085,19.8,50.8,91.6,5.9,0.2,0.7,0,1.6,1.3,90.6,88.1,1.3,20.5,10774,21,51615,74.5,104600,46187,2.36,22831,44301,13.5,9694,672.58,173.4
42087,20.3,50.9,97.5,0.8,0.1,0.5,0,1,1.3,96.4,89.5,0.7,11.5,4045,23,21518,73.6,95700,18711,2.46,20794,40384,15.3,3349,411.03,113.6
42089,15.1,50.6,79.4,15.1,0.5,2.4,0.1,2.5,14.6,68.2,89.9,10.2,23.8,13411,38.9,80685,80,191800,58875,2.81,25494,57408,12,12976,608.29,279.2
42091,16.4,51.4,81,9.4,0.2,7.4,0.1,1.9,4.8,77.1,89.7,9.7,45.5,50355,27.5,327451,73.2,292600,307488,2.55,41472,79183,6.1,84682,483.04,1655.9
42093,19.7,52.2,94.4,1.6,0.1,2.8,0,0.9,2.4,92.4,90.8,3.6,26.8,1523,18.7,8034,73.8,153200,7233,2.44,29600,51482,10,1353,130.24,140.3
42095,17.4,50.9,88.3,6.3,0.4,2.9,0.1,2,12,78.5,86.8,6.7,26.6,22090,27.3,121143,73.1,212100,112189,2.56,29266,60097,9.7,21066,369.67,805.4
42097,19.7,49.8,95.5,2.6,0.2,0.5,0,1.2,3.1,93.1,89.2,1.3,14,9663,23.5,44937,71.3,98200,39348,2.28,22478,41208,14.2,6016,458.37,206.2
42099,15.9,49.7,97.2,0.8,0.2,0.5,0.1,1.2,1.7,95.9,88.9,1.2,15.5,4083,31.6,20497,79.5,158400,18173,2.49,26048,57375,9.7,3477,551.45,83.4
42101,12.5,52.7,45.3,44.1,0.8,7.2,0.1,2.5,13.6,35.8,85.8,12.2,23.9,74487,31.8,670401,53.3,142500,580017,2.56,22279,37192,26.5,88140,134.1,11379.5
42103,20.3,49.8,90.3,6.3,0.5,1.2,0,1.7,10.2,81.6,90.6,7.2,22.5,5570,41.5,38538,84.2,193100,21581,2.63,27691,59340,9.1,4969,544.96,105.3
42105,21.8,50,97.9,0.5,0.4,0.3,0,0.9,1.1,97,91.4,1.1,14.6,1727,21.9,12843,76.8,96500,7077,2.44,22564,41547,15.1,1793,1081.32,16.1
42107,19.3,48.9,94.8,3.3,0.2,0.6,0,1.1,3.6,91.9,90,1.9,14.3,13883,25.6,69072,75.1,93500,59658,2.36,23021,45012,12.8,8794,778.63,190.4
42109,16.6,50.6,97,1.2,0.2,0.7,0.1,0.9,2.2,95.2,89.7,1.1,16.7,2722,23.1,16127,76.7,133700,14397,2.6,23088,46513,11.9,3706,328.71,120.8
42111,20.4,48.1,96,2.8,0.1,0.3,0,0.7,1.4,94.8,91.5,0.7,14.5,6814,23.2,37945,78.9,98400,29791,2.45,22192,43597,12.4,6162,1074.37,72.4
42113,26.9,47.7,95.1,3.2,0.4,0.4,0,0.9,1.8,93.5,91.9,1.7,14,774,26.5,6300,83.1,137000,2402,2.5,22923,40964,13.9,0,449.94,14.3
42115,20,49.6,97.9,0.6,0.2,0.4,0.1,0.9,1.8,96.4,90.6,1.4,16.5,4032,27,23024,78.2,139000,17163,2.48,24477,48231,12.9,4827,823.44,52.7
42117,19.6,50.5,97.2,0.9,0.3,0.5,0,1.1,1.3,96.1,88.1,1.1,19.1,4129,23.5,21492,74.3,116000,17058,2.37,22621,44187,15.3,3288,1133.79,37
42119,16.1,45,88.9,7.7,0.5,1.6,0.1,1.3,5.7,84.6,83.6,3.9,21.2,3467,21.3,17064,73.3,154300,15062,2.37,22259,48528,12.3,3343,315.98,142.2
42121,19.9,50.8,97,1.2,0.2,0.4,0,1.1,1.1,96.1,86.9,0.8,15.4,5260,21.6,27269,74.6,81000,22547,2.36,22060,41977,16,3755,674.28,81.5
42123,20.7,49.8,97.9,0.5,0.3,0.4,0,0.9,0.9,97.1,90.4,1.3,17.9,4187,19.8,23375,77,88700,17257,2.35,24179,43764,12.6,2563,884.14,47.3
42125,18.9,51.1,94,3.2,0.1,0.9,0,1.7,1.5,92.8,88,1.7,25.6,18403,26.2,93912,76.1,143600,84098,2.41,28433,53693,10.5,16589,856.99,242.5
42127,20.7,46.9,94.5,3.6,0.3,0.6,0,1,4.2,90.9,88,3.5,19.2,5172,28.8,31864,79.7,179900,19558,2.48,24005,49313,12.2,5809,725.6,72.8
42129,20.7,51.2,95.1,2.5,0.1,0.9,0,1.4,1.1,94.3,90.9,1.5,25.3,33249,26.4,168255,76.3,133600,152109,2.34,28051,50736,10.2,29746,1027.55,355.4
42131,18.4,49.6,97.2,0.9,0.2,0.5,0,1,1.8,95.6,90.2,1.3,17.4,2471,26.2,13314,77.6,155100,10992,2.49,24195,48482,12.1,1865,397.32,71.2
42133,15.9,50.5,89.7,6.5,0.3,1.5,0.1,2,6.5,84.8,87.7,3.4,22,34528,26.6,180653,75.1,174200,167592,2.55,28132,58745,10.1,33591,904.18,481.1
